,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,ratio_per_person
743,20,71,Medium,Low,No,7,87,High,Yes,1,Medium,Medium,Public,Negative,5.0,No,High School,Near,Male,65,0.28169014084507044
744,23,91,Low,High,Yes,9,67,Low,Yes,2,Low,Medium,Public,Neutral,4.0,No,,Near,Female,70,0.25274725274725274
745,16,82,High,High,Yes,6,75,Low,Yes,3,Medium,,Public,Neutral,3.0,No,College,Moderate,Female,68,0.1951219512195122
746,21,86,Medium,Low,No,6,56,Medium,Yes,1,Low,High,Private,Negative,2.0,No,College,Near,Female,66,0.2441860465116279
747,15,73,Low,High,Yes,8,93,Medium,Yes,1,Low,High,Public,Positive,4.0,No,College,Far,Male,65,0.2054794520547945
748,16,79,Low,Medium,Yes,9,87,Medium,Yes,1,Low,Medium,Public,Neutral,2.0,No,College,Moderate,Female,64,0.20253164556962025
749,12,85,High,High,Yes,7,88,High,Yes,1,Low,Medium,Public,Neutral,0.0,No,College,Far,Female,67,0.1411764705882353
750,14,76,High,Medium,Yes,8,59,Low,Yes,3,Medium,Medium,Private,Neutral,5.0,No,High School,Moderate,Male,65,0.18421052631578946
751,12,68,High,High,Yes,7,75,Medium,Yes,1,Medium,Low,Private,Positive,4.0,No,High School,Near,Male,64,0.17647058823529413
752,14,98,High,High,No,7,51,Medium,Yes,0,Medium,Low,Public,Positive,1.0,Yes,High School,Near,Male,67,0.14285714285714285
753,26,80,Medium,Low,Yes,6,66,Medium,Yes,2,High,Medium,Public,Neutral,4.0,No,Postgraduate,Near,Male,70,0.325
754,14,89,Medium,Low,Yes,5,67,Low,No,3,Low,Low,Private,Neutral,3.0,No,High School,Far,Female,63,0.15730337078651685
755,36,76,Medium,Medium,No,6,96,Medium,Yes,1,Low,Medium,Private,Neutral,2.0,No,College,Near,Male,71,0.47368421052631576
756,23,74,High,Low,No,6,100,Low,Yes,2,High,Low,Private,Positive,3.0,No,High School,Near,Male,68,0.3108108108108108
757,21,76,Medium,Medium,No,7,81,Medium,Yes,0,Medium,High,Private,Positive,2.0,No,College,Moderate,Female,67,0.27631578947368424
758,15,76,High,High,Yes,9,76,Medium,Yes,1,Medium,High,Public,Neutral,2.0,No,Postgraduate,Far,Female,67,0.19736842105263158
759,24,82,Low,Medium,Yes,7,72,Medium,Yes,0,Medium,High,Public,Positive,2.0,No,Postgraduate,Moderate,Female,68,0.2926829268292683
760,17,82,High,Medium,No,6,51,Medium,Yes,1,Low,Medium,Public,Positive,3.0,No,Postgraduate,Moderate,Male,66,0.2073170731707317
761,21,80,Medium,Medium,Yes,8,90,Medium,Yes,0,Medium,Medium,Public,Negative,4.0,No,College,Near,Male,68,0.2625
762,35,65,High,Medium,Yes,7,84,High,Yes,0,Medium,Medium,Public,Positive,2.0,No,High School,Moderate,Male,70,0.5384615384615384
763,19,80,Low,Low,No,8,82,Medium,Yes,5,Low,Low,Public,Positive,3.0,No,College,Near,Male,67,0.2375
764,27,67,Low,Medium,Yes,6,90,Medium,Yes,2,High,High,Private,Neutral,3.0,No,High School,Moderate,Male,67,0.40298507462686567
765,16,65,Low,High,No,9,96,Low,Yes,2,Low,Medium,Public,Negative,2.0,No,High School,Near,Male,62,0.24615384615384617
766,20,97,Medium,High,No,9,69,Low,Yes,0,Low,Low,Public,Negative,3.0,Yes,High School,Near,Male,67,0.20618556701030927
767,31,84,Medium,High,No,7,71,Low,Yes,4,Low,Medium,Public,Negative,4.0,No,High School,Far,Male,70,0.36904761904761907
768,16,86,High,High,No,8,99,Medium,Yes,4,Low,High,Private,Neutral,4.0,No,College,Near,Male,72,0.18604651162790697
769,31,76,Medium,Medium,Yes,9,83,Medium,Yes,2,High,Medium,Private,Negative,3.0,No,High School,Moderate,Female,70,0.40789473684210525
770,24,96,Low,High,No,6,93,Medium,Yes,2,Low,Medium,Public,Neutral,2.0,No,High School,Moderate,Female,94,0.25
771,17,86,Medium,Medium,No,7,61,Medium,No,2,High,Medium,Public,Positive,3.0,No,High School,Moderate,Male,66,0.19767441860465115
772,24,91,Low,Low,Yes,7,66,High,Yes,2,Low,High,Public,Neutral,3.0,No,High School,Near,Male,69,0.26373626373626374
773,26,75,High,Medium,No,5,70,Low,Yes,0,High,Low,Private,Neutral,2.0,No,Postgraduate,Near,Male,68,0.3466666666666667
774,24,98,High,Low,No,8,66,High,Yes,2,Low,Medium,Public,Positive,1.0,No,High School,Moderate,Male,71,0.24489795918367346
775,11,93,High,Medium,No,9,94,Medium,Yes,4,Low,High,Public,Neutral,4.0,No,High School,Moderate,Male,69,0.11827956989247312
776,16,94,Medium,Medium,No,7,76,Low,Yes,2,Medium,Medium,Public,Neutral,3.0,Yes,High School,Near,Female,67,0.1702127659574468
777,19,67,Low,Medium,Yes,8,98,Medium,Yes,2,Low,Medium,Private,Negative,2.0,No,Postgraduate,Near,Female,64,0.2835820895522388
778,20,71,Medium,Medium,Yes,9,66,Medium,Yes,1,Medium,Low,Private,Negative,5.0,Yes,College,Near,Female,63,0.28169014084507044
779,24,71,Medium,High,Yes,6,52,Medium,Yes,2,Medium,Medium,Private,Neutral,3.0,No,College,Far,Female,66,0.3380281690140845
780,21,71,High,Medium,Yes,8,57,Low,No,2,High,Medium,Public,Positive,1.0,No,Postgraduate,Near,Female,66,0.29577464788732394
781,12,94,Low,High,Yes,6,61,Medium,Yes,3,High,High,Public,Neutral,4.0,No,College,Near,Male,69,0.1276595744680851
782,22,61,Low,Low,Yes,6,82,Low,Yes,4,Medium,Medium,Public,Positive,4.0,No,High School,Moderate,Female,64,0.36065573770491804
783,24,63,High,Medium,No,8,59,Low,Yes,1,Low,Medium,Public,Neutral,3.0,Yes,High School,Near,Male,62,0.38095238095238093
784,23,71,Medium,Medium,Yes,7,69,High,Yes,3,Low,Medium,Public,Positive,5.0,Yes,,Far,Female,66,0.323943661971831
785,26,68,Medium,High,Yes,8,90,Medium,Yes,4,Low,High,Private,Neutral,3.0,No,High School,Near,Male,70,0.38235294117647056
786,25,69,High,Medium,Yes,7,56,Medium,Yes,2,Low,Medium,Private,Neutral,4.0,No,High School,Near,Male,67,0.36231884057971014
787,23,92,Low,Medium,No,8,54,Medium,Yes,0,High,Low,Public,Positive,1.0,No,Postgraduate,Near,Female,68,0.25
788,20,83,High,Low,No,9,77,High,Yes,0,Low,Medium,Public,Positive,3.0,Yes,,Near,Male,67,0.24096385542168675
789,10,60,Medium,Medium,No,9,85,Medium,Yes,0,Medium,High,Public,Positive,4.0,No,Postgraduate,Near,Male,62,0.16666666666666666
790,23,77,Low,Medium,Yes,8,96,Medium,Yes,1,High,Medium,Private,Neutral,1.0,Yes,College,Near,Male,67,0.2987012987012987
791,21,76,Medium,High,Yes,8,83,Medium,Yes,0,Low,Medium,Public,Positive,5.0,No,High School,Near,Male,68,0.27631578947368424
792,22,65,Low,Medium,No,7,97,Low,Yes,2,Medium,High,Private,Neutral,4.0,No,High School,Moderate,Female,64,0.3384615384615385
793,12,87,Medium,Low,Yes,7,62,Medium,No,2,Medium,Medium,Public,Neutral,4.0,No,High School,Near,Female,64,0.13793103448275862
794,14,88,Medium,Medium,No,8,67,Medium,Yes,2,High,Low,Public,Neutral,3.0,No,Postgraduate,Far,Male,66,0.1590909090909091
795,26,89,Medium,Low,Yes,7,92,Medium,Yes,2,Low,High,Public,Positive,2.0,No,Postgraduate,Moderate,Male,72,0.29213483146067415
796,20,89,Medium,High,Yes,8,91,Medium,Yes,2,Medium,Medium,Public,Positive,3.0,No,High School,Near,Female,72,0.2247191011235955
797,24,60,Medium,High,Yes,9,83,High,Yes,2,Medium,Low,Public,Positive,3.0,Yes,High School,Near,Male,66,0.4
798,20,98,Low,Medium,No,7,75,High,Yes,4,Medium,Medium,Private,Positive,1.0,No,College,Near,Male,72,0.20408163265306123
799,20,93,High,Medium,Yes,4,51,Low,Yes,1,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,69,0.21505376344086022
800,26,96,High,High,Yes,10,64,Low,Yes,2,Medium,Medium,Private,Neutral,3.0,Yes,High School,Near,Female,72,0.2708333333333333
801,17,61,Low,Low,Yes,6,58,Medium,Yes,1,Medium,High,Public,Neutral,4.0,No,High School,Near,Male,60,0.2786885245901639
802,21,97,Medium,Medium,Yes,7,53,Medium,Yes,0,High,Medium,Public,Neutral,2.0,No,High School,Moderate,Male,69,0.21649484536082475
803,17,92,Medium,High,No,8,89,Medium,Yes,0,Low,Low,Public,Positive,3.0,Yes,High School,Near,Male,68,0.18478260869565216
804,17,93,Low,Medium,Yes,9,57,High,Yes,3,Low,High,Private,Neutral,2.0,No,College,Near,Male,69,0.1827956989247312
805,18,64,Medium,Low,Yes,10,68,Low,Yes,1,Low,Medium,Public,Positive,5.0,No,High School,Near,Male,62,0.28125
806,21,90,Medium,Medium,Yes,6,99,Low,Yes,2,Low,High,Public,Positive,2.0,No,,Moderate,Male,71,0.23333333333333334
807,17,98,Medium,High,Yes,9,70,Low,Yes,1,High,Medium,Private,Negative,2.0,No,High School,Near,Male,70,0.17346938775510204
808,28,87,Low,Low,Yes,7,57,Medium,Yes,2,Medium,High,Private,Negative,4.0,No,High School,Moderate,Male,68,0.3218390804597701
809,15,83,High,Medium,Yes,10,84,Medium,Yes,1,High,High,Public,Negative,2.0,No,College,Near,Male,68,0.18072289156626506
810,19,98,Medium,High,No,9,90,Low,No,1,High,Medium,Private,Positive,2.0,No,College,Far,Female,70,0.19387755102040816
811,17,78,Medium,High,No,7,64,Medium,Yes,0,Low,Medium,Private,Neutral,3.0,No,High School,Near,Female,65,0.21794871794871795
812,29,84,High,Medium,Yes,6,90,Medium,Yes,0,Medium,High,Public,Positive,3.0,No,Postgraduate,Far,Male,73,0.34523809523809523
813,21,79,High,Medium,No,4,64,Low,Yes,0,Low,High,Public,Negative,4.0,No,College,Moderate,Male,66,0.26582278481012656
814,26,97,Medium,Medium,No,8,85,Low,No,2,High,Low,Public,Neutral,3.0,No,High School,Near,Male,71,0.26804123711340205
815,11,63,High,Medium,Yes,9,56,High,Yes,2,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Female,62,0.1746031746031746
816,22,80,Medium,Medium,Yes,8,71,High,Yes,2,Low,Medium,Private,Positive,3.0,No,High School,Near,Female,68,0.275
817,25,87,Medium,High,No,4,76,Low,Yes,1,Low,High,Public,Positive,4.0,No,College,Far,Male,70,0.28735632183908044
818,20,92,Medium,Low,No,5,86,Low,Yes,0,Medium,Medium,Public,Neutral,2.0,No,Postgraduate,Moderate,Female,68,0.21739130434782608
819,26,83,High,Low,Yes,8,83,Medium,Yes,2,Low,High,Public,Neutral,2.0,No,College,Near,Female,71,0.3132530120481928
820,17,96,Medium,Medium,Yes,10,93,Medium,Yes,2,Medium,Low,Public,Negative,4.0,No,High School,Near,Female,70,0.17708333333333334
821,28,98,Medium,Medium,Yes,7,59,Medium,Yes,1,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,72,0.2857142857142857
822,34,63,Medium,High,Yes,9,83,Medium,Yes,2,Medium,High,Public,Negative,2.0,No,College,Moderate,Male,69,0.5396825396825397
823,18,76,Medium,High,No,5,56,Medium,Yes,1,Low,Low,Public,Negative,2.0,No,College,Moderate,Male,63,0.23684210526315788
824,17,61,Medium,Medium,No,7,74,High,Yes,0,Medium,Medium,Public,Neutral,2.0,No,Postgraduate,Near,Female,62,0.2786885245901639
825,29,73,Medium,Medium,No,7,76,Medium,Yes,2,Low,High,Private,Neutral,3.0,No,High School,Near,Female,68,0.3972602739726027
826,29,81,Low,Medium,Yes,9,51,Low,Yes,2,Medium,Medium,Public,Positive,5.0,No,Postgraduate,Near,Male,70,0.35802469135802467
827,17,96,Medium,Medium,Yes,6,54,Medium,Yes,1,Medium,Medium,Private,Positive,4.0,No,High School,Near,Male,69,0.17708333333333334
828,17,94,Medium,Medium,No,10,92,Low,Yes,2,Low,Medium,Private,Negative,2.0,No,High School,Near,Male,68,0.18085106382978725
829,18,65,High,Medium,Yes,7,64,Medium,Yes,2,High,Medium,Public,Positive,1.0,No,High School,Near,Male,65,0.27692307692307694
830,12,64,Medium,Low,No,5,67,Medium,Yes,3,Low,Medium,Private,Positive,2.0,Yes,High School,Near,Male,59,0.1875
831,14,84,Medium,Medium,No,5,82,Medium,Yes,3,Low,Medium,Public,Positive,3.0,No,College,Far,Male,66,0.16666666666666666
832,14,81,High,Medium,No,6,61,Low,Yes,0,Low,Medium,Public,Positive,4.0,No,High School,Moderate,Male,64,0.1728395061728395
833,15,71,Low,Medium,No,8,60,High,No,5,Low,High,Public,Positive,4.0,No,High School,Far,Female,63,0.2112676056338028
834,20,96,Medium,Medium,No,6,71,Medium,Yes,5,Low,High,Public,Neutral,3.0,No,College,Near,Male,72,0.20833333333333334
835,21,97,Medium,High,Yes,6,53,Low,Yes,0,Low,Medium,Public,Negative,3.0,Yes,High School,Moderate,Male,67,0.21649484536082475
836,29,76,Medium,Medium,No,8,96,Low,Yes,2,Low,Medium,Public,Positive,2.0,No,Postgraduate,Moderate,Male,94,0.3815789473684211
837,14,96,Medium,High,Yes,4,97,Low,Yes,2,Medium,Medium,Public,Negative,3.0,No,High School,Near,Female,70,0.14583333333333334
838,26,75,Low,Medium,No,6,72,Medium,Yes,0,Low,High,Public,Neutral,3.0,No,High School,Near,Male,66,0.3466666666666667
839,19,89,Low,Medium,Yes,5,60,Low,Yes,4,Medium,Medium,Public,Positive,2.0,No,Postgraduate,Moderate,Female,69,0.21348314606741572
840,20,79,Medium,Low,Yes,6,74,Low,Yes,2,Low,Medium,Public,Positive,2.0,No,High School,Far,Male,64,0.25316455696202533
841,24,65,Medium,Medium,No,7,55,Low,Yes,1,Low,High,Private,Positive,3.0,Yes,High School,Near,Female,63,0.36923076923076925
842,13,97,High,High,No,7,70,Medium,Yes,1,Low,High,Public,Neutral,4.0,No,Postgraduate,Near,Female,71,0.13402061855670103
843,22,78,High,Medium,No,7,54,Medium,Yes,1,Medium,Medium,Public,Negative,3.0,Yes,High School,Moderate,Male,65,0.28205128205128205
844,21,89,Low,Medium,Yes,9,85,Low,Yes,1,Medium,Medium,Public,Negative,5.0,No,College,Far,Female,68,0.23595505617977527
845,23,75,Medium,Medium,No,7,64,High,Yes,1,Low,Medium,Public,Negative,3.0,Yes,High School,Moderate,Male,64,0.30666666666666664
846,22,61,Low,Low,Yes,10,76,High,Yes,1,High,High,Public,Positive,2.0,No,College,Near,Male,64,0.36065573770491804
847,35,64,Medium,Medium,Yes,8,51,Medium,Yes,2,Medium,Medium,Public,Negative,5.0,Yes,High School,Near,Male,66,0.546875
848,16,80,High,Medium,No,6,76,Medium,Yes,1,Medium,High,Public,Positive,4.0,No,College,Near,Male,68,0.2
849,17,88,Medium,Medium,No,10,50,Medium,Yes,3,Low,High,Public,Neutral,5.0,No,College,Moderate,Female,67,0.19318181818181818
850,16,73,Low,High,Yes,7,96,Medium,Yes,1,Medium,Medium,Private,Positive,3.0,No,High School,Moderate,Female,66,0.2191780821917808
851,17,88,Medium,Medium,Yes,10,75,Medium,Yes,2,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Male,68,0.19318181818181818
852,16,88,Low,Medium,No,7,55,Medium,Yes,3,Low,Low,Public,Neutral,3.0,No,Postgraduate,Near,Male,66,0.18181818181818182
853,27,88,Medium,Medium,No,7,67,Medium,Yes,3,High,Medium,Public,Neutral,4.0,No,College,Far,Male,71,0.3068181818181818
854,29,80,Medium,High,Yes,8,52,Medium,Yes,4,Low,Medium,Public,Positive,4.0,No,High School,Moderate,Female,71,0.3625
855,17,97,Medium,High,No,7,77,Medium,Yes,0,Low,Medium,Private,Negative,4.0,No,College,Far,Male,68,0.17525773195876287
856,15,80,High,Low,No,9,56,High,Yes,3,Medium,Medium,Public,Neutral,3.0,Yes,High School,Near,Female,64,0.1875
857,23,78,Medium,Medium,Yes,10,74,Low,Yes,3,Medium,Medium,Public,Negative,4.0,No,High School,Moderate,Male,67,0.2948717948717949
858,17,68,High,Medium,Yes,4,65,High,Yes,0,Medium,Medium,Private,Positive,2.0,No,High School,Moderate,Male,64,0.25
859,24,72,High,Low,Yes,8,88,High,Yes,3,Low,Medium,Public,Positive,2.0,No,High School,Near,Female,68,0.3333333333333333
860,21,62,Medium,Low,No,6,74,High,Yes,0,Low,High,Private,Positive,3.0,Yes,Postgraduate,Far,Male,62,0.3387096774193548
861,11,85,Medium,Low,Yes,4,92,Low,Yes,0,Medium,High,Public,Neutral,1.0,No,College,Near,Male,64,0.12941176470588237
862,29,70,Low,High,No,8,97,Low,Yes,3,Low,High,Public,Positive,3.0,No,Postgraduate,Moderate,Male,70,0.4142857142857143
863,31,72,Medium,Medium,No,8,98,High,Yes,0,Low,Medium,Public,Neutral,4.0,No,College,Far,Male,68,0.4305555555555556
864,16,91,Medium,Medium,No,8,63,High,Yes,2,Medium,High,Public,Neutral,3.0,No,College,Near,Female,69,0.17582417582417584
865,18,73,Low,Medium,Yes,8,88,Low,Yes,3,Low,Medium,Public,Positive,4.0,No,College,Moderate,Male,65,0.2465753424657534
866,22,70,Medium,High,Yes,8,72,Medium,Yes,2,High,Medium,Public,Neutral,3.0,No,High School,Near,Male,67,0.3142857142857143
867,22,67,High,Medium,No,6,71,Low,Yes,2,Medium,,Public,Positive,2.0,No,College,Moderate,Male,65,0.3283582089552239
868,24,91,High,Medium,No,7,93,Low,Yes,0,Medium,Medium,Public,Positive,2.0,No,High School,Moderate,Male,71,0.26373626373626374
869,32,65,Medium,Low,Yes,8,57,Low,Yes,2,Low,Medium,Public,Positive,3.0,No,High School,Moderate,Female,65,0.49230769230769234
870,19,78,Medium,Medium,Yes,9,74,Low,Yes,2,Low,Medium,Public,Positive,5.0,No,High School,Moderate,Female,66,0.24358974358974358
871,15,80,High,Medium,No,7,80,Medium,Yes,0,Low,Low,Public,Neutral,5.0,No,High School,Near,Female,65,0.1875
872,12,87,Medium,Medium,Yes,7,53,Low,Yes,2,Medium,Medium,Private,Neutral,1.0,No,College,Near,Male,65,0.13793103448275862
873,16,85,Low,Medium,No,7,93,High,Yes,1,Medium,High,Public,Positive,3.0,No,High School,Near,Male,68,0.18823529411764706
874,20,92,Medium,Medium,Yes,5,66,Medium,Yes,2,Medium,Medium,Public,Negative,2.0,Yes,College,Moderate,Male,68,0.21739130434782608
875,31,62,High,Medium,No,8,83,Medium,Yes,0,Medium,High,Private,Neutral,2.0,Yes,College,Near,Female,67,0.5
876,17,72,Low,Medium,Yes,5,96,High,Yes,3,High,Medium,Public,Negative,3.0,No,High School,Moderate,Male,65,0.2361111111111111
877,21,71,Medium,Low,No,8,86,Medium,Yes,2,Medium,High,Public,Neutral,2.0,No,College,Near,Male,66,0.29577464788732394
878,20,66,Medium,Medium,Yes,7,94,Low,Yes,0,Medium,Low,Public,Neutral,4.0,No,High School,Moderate,Female,63,0.30303030303030304
879,27,72,High,High,Yes,5,53,Medium,Yes,1,High,Medium,Private,Neutral,5.0,No,Postgraduate,,Male,70,0.375
880,35,72,High,High,Yes,5,75,Medium,Yes,1,Low,Medium,Public,Positive,5.0,No,College,Moderate,Male,72,0.4861111111111111
881,17,81,Medium,High,No,6,78,Medium,Yes,2,Low,Medium,Private,Positive,2.0,No,High School,Moderate,Male,67,0.20987654320987653
882,17,87,High,Low,Yes,6,84,Medium,Yes,0,Medium,Medium,Public,Positive,3.0,No,College,Far,Male,67,0.19540229885057472
883,26,75,Low,Medium,Yes,9,56,Medium,Yes,1,Low,Medium,Public,Positive,5.0,No,High School,Moderate,Male,66,0.3466666666666667
884,24,89,Low,Medium,No,7,83,Medium,No,1,Low,Low,Public,Neutral,3.0,No,High School,Moderate,Male,66,0.2696629213483146
885,31,73,High,Medium,Yes,8,57,Medium,Yes,2,Low,High,Public,Neutral,4.0,No,High School,Far,Male,69,0.4246575342465753
886,24,72,Medium,Low,Yes,9,53,Medium,Yes,0,Low,High,Private,Neutral,4.0,Yes,High School,Moderate,Male,62,0.3333333333333333
887,18,82,Low,Medium,No,9,73,Low,Yes,2,Low,Medium,Public,Positive,4.0,No,College,Near,Female,66,0.21951219512195122
888,24,61,Medium,Medium,No,7,80,High,Yes,0,Low,Medium,Public,Positive,3.0,No,Postgraduate,Moderate,Male,64,0.39344262295081966
889,27,63,High,Medium,Yes,6,98,Medium,Yes,1,Low,High,Public,Positive,2.0,No,High School,Moderate,Female,67,0.42857142857142855
890,25,77,High,High,No,8,85,Medium,Yes,2,Medium,Medium,Public,Positive,1.0,No,College,Near,Male,71,0.3246753246753247
891,23,98,High,Medium,Yes,6,80,Medium,Yes,1,Medium,Medium,Public,Positive,2.0,No,,Moderate,Male,73,0.23469387755102042
892,26,89,Medium,Low,Yes,10,61,Low,Yes,0,Medium,High,Public,Neutral,3.0,No,High School,Moderate,Female,68,0.29213483146067415
893,27,64,High,Low,Yes,8,58,Medium,Yes,2,High,High,Public,Neutral,1.0,No,Postgraduate,Far,Male,66,0.421875
894,28,94,Medium,High,Yes,7,80,Medium,Yes,3,Low,High,Public,Positive,4.0,No,Postgraduate,Far,Male,75,0.2978723404255319
895,24,89,Medium,High,Yes,8,61,Medium,Yes,1,Low,High,Public,Positive,3.0,No,Postgraduate,Near,Female,72,0.2696629213483146
896,19,84,High,Low,Yes,7,85,Medium,Yes,1,High,Medium,Private,Neutral,3.0,No,High School,Near,Male,68,0.2261904761904762
897,21,93,Medium,Medium,Yes,6,56,Medium,No,1,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,68,0.22580645161290322
898,27,76,Low,High,Yes,8,67,Medium,Yes,1,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,69,0.35526315789473684
899,15,69,Medium,Medium,Yes,7,89,Medium,Yes,1,Low,High,Public,Negative,2.0,No,College,Moderate,Female,63,0.21739130434782608
900,22,80,Medium,High,Yes,10,92,Medium,Yes,0,Medium,High,Public,Positive,2.0,No,High School,Near,Female,70,0.275
901,18,82,Low,Medium,Yes,6,67,Low,Yes,1,High,Low,Private,Positive,3.0,No,Postgraduate,Moderate,Male,66,0.21951219512195122
902,20,82,Low,Low,Yes,8,60,Medium,Yes,3,Medium,High,Public,Positive,4.0,No,High School,Moderate,Male,66,0.24390243902439024
903,28,83,Medium,High,No,6,98,Medium,Yes,1,Low,High,Private,Neutral,2.0,No,Postgraduate,Moderate,Male,72,0.3373493975903614
904,21,98,Low,Medium,No,6,88,Medium,Yes,1,Medium,Low,Public,Neutral,3.0,No,Postgraduate,Near,Male,71,0.21428571428571427
905,20,96,High,Medium,No,4,90,Medium,Yes,3,Low,Medium,Private,Neutral,2.0,No,College,Near,Male,72,0.20833333333333334
906,12,95,Medium,Medium,No,8,61,High,Yes,4,High,High,Private,Neutral,1.0,No,College,Near,Male,69,0.12631578947368421
907,24,92,Low,High,Yes,6,71,Low,Yes,2,Low,High,Public,Positive,2.0,No,High School,Near,Male,71,0.2608695652173913
908,24,98,Medium,Low,No,9,53,Medium,Yes,3,High,Low,Private,Negative,2.0,No,Postgraduate,Far,Male,69,0.24489795918367346
909,33,64,High,Medium,No,8,55,Medium,Yes,1,Medium,High,Public,Neutral,3.0,No,College,Moderate,Female,68,0.515625
910,18,71,Low,Low,Yes,7,61,Low,Yes,2,Low,Medium,Public,Negative,4.0,No,College,Near,Male,61,0.2535211267605634
911,21,80,Medium,High,No,5,65,High,Yes,2,Medium,Low,Private,Neutral,1.0,No,Postgraduate,Moderate,Male,68,0.2625
912,21,94,High,Medium,Yes,8,100,Low,Yes,0,Low,Medium,Public,Neutral,3.0,No,Postgraduate,Near,Male,72,0.22340425531914893
913,29,80,Medium,Medium,Yes,6,71,Medium,Yes,0,Medium,Medium,Public,Positive,3.0,No,College,Moderate,Female,70,0.3625
914,19,90,High,Medium,Yes,5,85,High,Yes,0,Medium,High,Private,Positive,5.0,No,Postgraduate,Near,Female,73,0.2111111111111111
915,22,66,Medium,High,No,8,95,Low,Yes,3,Medium,Medium,Private,Positive,3.0,No,High School,Moderate,Female,67,0.3333333333333333
916,24,70,Medium,High,No,5,62,Medium,Yes,2,Low,Medium,Private,Negative,4.0,Yes,College,Near,Male,65,0.34285714285714286
917,21,89,Medium,Medium,No,4,57,Medium,Yes,1,High,Medium,Private,Positive,2.0,No,High School,Near,Female,68,0.23595505617977527
918,17,67,Low,High,Yes,9,62,High,Yes,3,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,65,0.2537313432835821
919,21,74,High,Medium,No,6,94,Medium,Yes,1,Low,High,Public,Positive,1.0,No,High School,Near,Male,97,0.28378378378378377
920,26,71,High,Low,Yes,4,83,Low,Yes,1,Medium,Medium,Public,Negative,3.0,No,College,Moderate,Male,66,0.36619718309859156
921,14,74,High,High,Yes,6,73,High,Yes,2,Medium,Medium,Private,Neutral,3.0,No,High School,Near,Female,67,0.1891891891891892
922,21,88,High,Medium,No,6,91,Medium,Yes,2,High,Medium,Public,Neutral,1.0,No,High School,Moderate,Female,70,0.23863636363636365
923,16,75,High,Medium,Yes,9,62,Medium,Yes,3,Low,Medium,Public,Positive,4.0,No,High School,Moderate,Female,66,0.21333333333333335
924,27,82,Medium,High,Yes,5,62,Low,Yes,1,Low,High,Private,Neutral,4.0,No,High School,Moderate,Female,69,0.32926829268292684
925,11,64,High,Medium,Yes,5,78,Low,Yes,2,Low,High,Private,Neutral,4.0,No,College,Moderate,Male,62,0.171875
926,17,92,Medium,Low,Yes,8,90,High,Yes,1,High,Low,Public,Negative,3.0,No,High School,Near,Male,68,0.18478260869565216
927,22,75,Medium,High,Yes,6,63,Low,Yes,1,Low,Medium,Public,Positive,2.0,No,College,Near,Male,67,0.29333333333333333
928,29,86,Medium,Medium,Yes,7,61,Medium,Yes,0,Medium,Medium,Public,Negative,4.0,No,High School,Far,Female,68,0.3372093023255814
929,20,89,High,Medium,Yes,6,74,Medium,Yes,1,Low,High,Private,Neutral,2.0,No,High School,Moderate,Male,69,0.2247191011235955
930,17,68,Medium,Medium,Yes,10,57,Medium,Yes,1,High,Medium,Private,Positive,1.0,Yes,High School,Moderate,Female,62,0.25
931,31,95,High,Medium,Yes,5,87,Medium,Yes,2,Low,Medium,Public,Neutral,3.0,No,Postgraduate,Moderate,Male,75,0.3263157894736842
932,11,85,Medium,Medium,No,7,79,Low,Yes,2,High,Low,Public,Positive,3.0,No,High School,Near,Male,65,0.12941176470588237
933,7,77,High,Medium,No,9,76,Medium,Yes,2,Medium,High,Public,Negative,3.0,No,College,Moderate,Male,63,0.09090909090909091
934,23,67,High,Medium,No,6,94,Low,Yes,1,Medium,Medium,Public,Positive,2.0,No,College,Far,Male,66,0.34328358208955223
935,17,98,Low,High,No,6,87,High,No,3,Medium,Medium,Private,Positive,5.0,No,College,Near,Female,71,0.17346938775510204
936,14,90,High,Medium,Yes,8,57,Medium,Yes,0,Medium,Medium,Public,Positive,3.0,Yes,College,Moderate,Male,66,0.15555555555555556
937,24,68,Medium,Medium,No,9,71,Medium,Yes,2,Medium,Medium,Public,Neutral,4.0,No,College,Near,Male,66,0.35294117647058826
938,21,74,Medium,High,No,6,66,Low,Yes,1,Medium,High,Private,Negative,4.0,No,High School,Near,Male,66,0.28378378378378377
939,17,92,High,High,Yes,9,90,Medium,Yes,1,High,Low,Public,Positive,3.0,No,,Moderate,Male,71,0.18478260869565216
940,12,88,Medium,Medium,Yes,7,86,High,Yes,3,Medium,High,Public,Positive,3.0,Yes,High School,Moderate,Male,68,0.13636363636363635
941,25,91,Medium,Medium,No,8,74,High,Yes,1,Medium,High,Private,Positive,3.0,No,College,Moderate,Male,71,0.27472527472527475
